con,val,rank,swarm_offset,swarm_val
Boston and Skegness,76.19,1,1,76.40233561172332
South Basildon and East Thurrock,74.06,2,1,74.16105357092613
Castle Point,72.79,3,1,73.04041255052755
Stoke-on-Trent North,71.9,4,0.9562223786066151,71.91977153012894
Clacton,71.81,5,0.9781111893033075,71.91977153012894
Great Yarmouth,71.51,6,1,71.91977153012894
Doncaster North,71.5,7,1.0218888106966926,71.91977153012894
North East Cambridgeshire,71.39,8,1.043777621393385,71.91977153012894
South Holland and The Deepings,71.35,9,0.8905559465165376,70.79913050973036
Dudley,71.35,10,0.9124447572132302,70.79913050973036
Barnsley South,71.34,11,0.9343335679099226,70.79913050973036
"Pontefract, Castleford and Knottingley",71.33,12,0.9562223786066151,70.79913050973036
Kingston upon Hull East,70.95,13,0.9781111893033075,70.79913050973036
Mansfield,70.81,14,1,70.79913050973036
Ashfield,70.81,15,1.0218888106966926,70.79913050973036
Tipton and Wednesbury,70.76,16,1.043777621393385,70.79913050973036
Bolsover,70.53,17,1.0656664320900775,70.79913050973036
Rawmarsh and Conisbrough,70.49000000000001,18,1.0875552427867698,70.79913050973036
Dagenham and Rainham,70.45,19,1.1094440534834624,70.79913050973036
Wolverhampton South East,69.86999999999999,20,0.9343335679099226,69.67848948933175
Great Grimsby and Cleethorpes,69.82,21,0.9562223786066151,69.67848948933175
Wolverhampton North East,69.7,22,0.9781111893033075,69.67848948933175
Thurrock,69.66999999999999,23,1,69.67848948933175
Normanton and Hemsworth,69.66999999999999,24,1.0218888106966926,69.67848948933175
Hartlepool,69.57,25,1.043777621393385,69.67848948933175
Barnsley North,69.31,26,1.0656664320900775,69.67848948933175
Hornchurch and Upminster,69.1,27,0.9233891625615763,68.55784846893317
Cannock Chase,68.86,28,0.9452779732582688,68.55784846893317
Bassetlaw,68.85,29,0.9671667839549613,68.55784846893317
Stoke-on-Trent Central,68.51,30,0.9890555946516537,68.55784846893317
Rayleigh and Wickford,68.49000000000001,31,1.0109444053483463,68.55784846893317
Brigg and Immingham,68.47,32,1.0328332160450386,68.55784846893317
Romford,68.04,33,1.0547220267417312,68.55784846893317
North Warwickshire and Bedworth,68.03,34,1.0766108374384236,68.55784846893317
Rotherham,67.91000000000001,35,0.9343335679099226,67.43720744853456
Louth and Horncastle,67.9,36,0.9562223786066151,67.43720744853456
Aldridge-Brownhills,67.89,37,0.9781111893033075,67.43720744853456
West Bromwich,67.84,38,1,67.43720744853456
Blackpool North and Fleetwood,67.77,39,1.0218888106966926,67.43720744853456
Scunthorpe,67.66,40,1.043777621393385,67.43720744853456
Blackpool South,66.92,41,1.0656664320900775,67.43720744853456
Redcar,66.8,42,0.8358339197748065,66.31656642813599
Halesowen,66.72,43,0.8577227304714989,66.31656642813599
Rother Valley,66.63,44,0.8796115411681914,66.31656642813599
Doncaster East and the Isle of Axholme,66.51,45,0.9015003518648839,66.31656642813599
South West Norfolk,66.5,46,0.9233891625615763,66.31656642813599
Harlow,66.36999999999999,47,0.9452779732582688,66.31656642813599
Basildon and Billericay,66.33,48,0.9671667839549613,66.31656642813599
Telford,66.26,49,0.9890555946516537,66.31656642813599
Easington,66.21000000000001,50,1.0109444053483463,66.31656642813599
Sittingbourne and Sheppey,66.21000000000001,51,1.0328332160450386,66.31656642813599
Burnley,66.11,52,1.0547220267417312,66.31656642813599
Middlesbrough South and East Cleveland,66.04,53,1.0766108374384236,66.31656642813599
Kingston upon Hull West and Haltemprice,65.92,54,1.0984996481351161,66.31656642813599
Makerfield,65.86,55,1.1203884588318087,66.31656642813599
Stockton North,65.82,56,1.142277269528501,66.31656642813599
Hyndburn,65.79,57,1.1641660802251936,66.31656642813599
Tamworth,65.67999999999999,58,0.813945109078114,65.19592540773738
Doncaster Central,65.64,59,0.8358339197748065,65.19592540773738
Middlesbrough and Thornaby East,65.52,60,0.8577227304714989,65.19592540773738
Plymouth Moor View,65.46000000000001,61,0.8796115411681914,65.19592540773738
Bexleyheath and Crayford,65.44000000000001,62,0.9015003518648839,65.19592540773738
Gravesham,65.38,63,0.9233891625615763,65.19592540773738
Broxbourne,65.32,64,0.9452779732582688,65.19592540773738
Stoke-on-Trent South,65.28,65,0.9671667839549613,65.19592540773738
Amber Valley,65.27,66,0.9890555946516537,65.19592540773738
Bridlington and The Wolds,65.04,67,1.0109444053483463,65.19592540773738
Walsall and Bloxwich,64.95,68,1.0328332160450386,65.19592540773738
Jarrow and Gateshead East,64.95,69,1.0547220267417312,65.19592540773738
North West Norfolk,64.95,70,1.0766108374384236,65.19592540773738
Wellingborough and Rushden,64.84,71,1.0984996481351161,65.19592540773738
Staffordshire Moorlands,64.83,72,1.1203884588318087,65.19592540773738
Sheffield South East,64.8,73,1.142277269528501,65.19592540773738
St Austell and Newquay,64.79,74,1.1641660802251936,65.19592540773738
Burton and Uttoxeter,64.66,75,1.186054890921886,65.19592540773738
Chatham and Aylesford,64.57,76,0.8577227304714989,64.0752843873388
Bridgwater,64.54,77,0.8796115411681914,64.0752843873388
Leigh and Atherton,64.49000000000001,78,0.9015003518648839,64.0752843873388
Lowestoft,64.43,79,0.9233891625615763,64.0752843873388
Nuneaton,64.13,80,0.9452779732582688,64.0752843873388
Dartford,64.01,81,0.9671667839549613,64.0752843873388
Bradford South,63.96,82,0.9890555946516537,64.0752843873388
Portsmouth North,63.83,83,1.0109444053483463,64.0752843873388
Bognor Regis and Littlehampton,63.83,84,1.0328332160450386,64.0752843873388
Gillingham and Rainham,63.690000000000005,85,1.0547220267417312,64.0752843873388
Houghton and Sunderland South,63.68,86,1.0766108374384236,64.0752843873388
Stourbridge,63.67,87,1.0984996481351161,64.0752843873388
Rochester and Strood,63.65,88,1.1203884588318087,64.0752843873388
Kingswinford and South Staffordshire,63.54,89,1.142277269528501,64.0752843873388
Blaenau Gwent and Rhymney,63.51,90,0.7920562983814214,62.9546433669402
Folkestone and Hythe,63.5,91,0.813945109078114,62.9546433669402
Washington and Gateshead South,63.25,92,0.8358339197748065,62.9546433669402
Mid Norfolk,63.21,93,0.8577227304714989,62.9546433669402
Erewash,63.17,94,0.8796115411681914,62.9546433669402
Wyre Forest,63.15,95,0.9015003518648839,62.9546433669402
Whitehaven and Workington,63.14,96,0.9233891625615763,62.9546433669402
East Thanet,63.08,97,0.9452779732582688,62.9546433669402
West Suffolk,63.04,98,0.9671667839549613,62.9546433669402
Old Bexley and Sidcup,62.949999999999996,99,0.9890555946516537,62.9546433669402
Blyth and Ashington,62.94,100,1.0109444053483463,62.9546433669402
Dover and Deal,62.87,101,1.0328332160450386,62.9546433669402
Bolton South and Walkden,62.839999999999996,102,1.0547220267417312,62.9546433669402
Isle of Wight East,62.83,103,1.0766108374384236,62.9546433669402
Smethwick,62.790000000000006,104,1.0984996481351161,62.9546433669402
"Stone, Great Wyrley and Penkridge",62.71,105,1.1203884588318087,62.9546433669402
Ashton-under-Lyne,62.57,106,1.142277269528501,62.9546433669402
Sleaford and North Hykeham,62.54,107,1.1641660802251936,62.9546433669402
Torbay,62.5,108,1.186054890921886,62.9546433669402
Sherwood Forest,62.44,109,1.2079437016185786,62.9546433669402
Grantham and Bourne,62.25,110,0.8358339197748065,61.83400234654161
North East Derbyshire,62.01,111,0.8577227304714989,61.83400234654161
Peterborough,61.93,112,0.8796115411681914,61.83400234654161
Gosport,61.86,113,0.9015003518648839,61.83400234654161
Gainsborough,61.82,114,0.9233891625615763,61.83400234654161
Ellesmere Port and Bromborough,61.790000000000006,115,0.9452779732582688,61.83400234654161
Havant,61.74,116,0.9671667839549613,61.83400234654161
Wakefield and Rothwell,61.74,117,0.9890555946516537,61.83400234654161
South Derbyshire,61.720000000000006,118,1.0109444053483463,61.83400234654161
Newcastle-under-Lyme,61.7,119,1.0328332160450386,61.83400234654161
Heywood and Middleton North,61.660000000000004,120,1.0547220267417312,61.83400234654161
"Oldham West, Chadderton and Royton",61.63,121,1.0766108374384236,61.83400234654161
Wigan,61.61,122,1.0984996481351161,61.83400234654161
Aberafan Maesteg,61.449999999999996,123,1.1203884588318087,61.83400234654161
Pendle and Clitheroe,61.37,124,1.142277269528501,61.83400234654161
Epping Forest,61.290000000000006,125,1.1641660802251936,61.83400234654161
Herne Bay and Sandwich,61.27,126,0.7263898662913442,60.713361326143016
Redditch,61.14,127,0.7482786769880365,60.713361326143016
Scarborough and Whitby,61.120000000000005,128,0.7701674876847291,60.713361326143016
Hereford and South Herefordshire,61.07,129,0.7920562983814214,60.713361326143016
Brentwood and Ongar,61.04,130,0.813945109078114,60.713361326143016
Rhondda and Ogmore,61.03,131,0.8358339197748065,60.713361326143016
Isle of Wight West,61.03,132,0.8577227304714989,60.713361326143016
Maldon,61.02,133,0.8796115411681914,60.713361326143016
Ashford,60.87,134,0.9015003518648839,60.713361326143016
North West Leicestershire,60.82,135,0.9233891625615763,60.713361326143016
Selby,60.74,136,0.9452779732582688,60.713361326143016
Kettering,60.730000000000004,137,0.9671667839549613,60.713361326143016
Christchurch,60.690000000000005,138,0.9890555946516537,60.713361326143016
Crewe and Nantwich,60.68,139,1.0109444053483463,60.713361326143016
New Forest East,60.59,140,1.0328332160450386,60.713361326143016
Newton Aycliffe and Spennymoor,60.5,141,1.0547220267417312,60.713361326143016
Carlisle,60.48,142,1.0766108374384236,60.713361326143016
Hinckley and Bosworth,60.46,143,1.0984996481351161,60.713361326143016
Braintree,60.41,144,1.1203884588318087,60.713361326143016
Feltham and Heston,60.379999999999995,145,1.142277269528501,60.713361326143016
Witham,60.36,146,1.1641660802251936,60.713361326143016
Cramlington and Killingworth,60.33,147,1.186054890921886,60.713361326143016
Spelthorne,60.3,148,1.2079437016185786,60.713361326143016
South Shields,60.28,149,1.229832512315271,60.713361326143016
Alyn and Deeside,60.25,150,1.2517213230119635,60.713361326143016
North Shropshire,60.230000000000004,151,1.2736101337086558,60.713361326143016
Halifax,60.11,152,0.6826122448979591,59.59272030574442
South Dorset,60.07,153,0.7045010555946516,59.59272030574442
Goole and Pocklington,59.99,154,0.7263898662913442,59.59272030574442
Spen Valley,59.97,155,0.7482786769880365,59.59272030574442
Southend East and Rochford,59.949999999999996,156,0.7701674876847291,59.59272030574442
Worsley and Eccles,59.949999999999996,157,0.7920562983814214,59.59272030574442
Derby South,59.89,158,0.813945109078114,59.59272030574442
North Cornwall,59.82,159,0.8358339197748065,59.59272030574442
Kingston upon Hull North and Cottingham,59.809999999999995,160,0.8577227304714989,59.59272030574442
The Wrekin,59.790000000000006,161,0.8796115411681914,59.59272030574442
Torfaen,59.78,162,0.9015003518648839,59.59272030574442
Barking,59.730000000000004,163,0.9233891625615763,59.59272030574442
Weston-super-Mare,59.720000000000006,164,0.9452779732582688,59.59272030574442
Birmingham Hodge Hill and Solihull North,59.690000000000005,165,0.9671667839549613,59.59272030574442
Yeovil,59.58,166,0.9890555946516537,59.59272030574442
North West Cambridgeshire,59.54,167,1.0109444053483463,59.59272030574442
Melton and Syston,59.52,168,1.0328332160450386,59.59272030574442
Bishop Auckland,59.5,169,1.0547220267417312,59.59272030574442
Southampton Itchen,59.46,170,1.0766108374384236,59.59272030574442
Birmingham Erdington,59.41,171,1.0984996481351161,59.59272030574442
Corby and East Northamptonshire,59.39,172,1.1203884588318087,59.59272030574442
Leeds South West and Morley,59.37,173,1.142277269528501,59.59272030574442
Penistone and Stocksbridge,59.33,174,1.1641660802251936,59.59272030574442
Luton North,59.260000000000005,175,1.186054890921886,59.59272030574442
Fareham and Waterlooville,59.25,176,1.2079437016185786,59.59272030574442
Rossendale and Darwen,59.190000000000005,177,1.229832512315271,59.59272030574442
Chesterfield,59.190000000000005,178,1.2517213230119635,59.59272030574442
Droitwich and Evesham,59.1,179,1.2736101337086558,59.59272030574442
Northampton North,59.08,180,1.2954989444053484,59.59272030574442
Harwich and North Essex,59.07,181,1.317387755102041,59.59272030574442
Bournemouth West,59.02,182,0.7482786769880365,58.47207928534583
Newport East,58.97,183,0.7701674876847291,58.47207928534583
Gloucester,58.97,184,0.7920562983814214,58.47207928534583
Rugby,58.87,185,0.813945109078114,58.47207928534583
Bexhill and Battle,58.760000000000005,186,0.8358339197748065,58.47207928534583
Montgomeryshire and Glyndwr,58.71,187,0.8577227304714989,58.47207928534583
Coventry East,58.71,188,0.8796115411681914,58.47207928534583
Barrow and Furness,58.54,189,0.9015003518648839,58.47207928534583
Nottingham North and Kimberley,58.51,190,0.9233891625615763,58.47207928534583
Sunderland Central,58.49,191,0.9452779732582688,58.47207928534583
Torridge and Tavistock,58.44,192,0.9671667839549613,58.47207928534583
Coventry North West,58.43,193,0.9890555946516537,58.47207928534583
Crawley,58.41,194,1.0109444053483463,58.47207928534583
North Norfolk,58.349999999999994,195,1.0328332160450386,58.47207928534583
Mid and South Pembrokeshire,58.27,196,1.0547220267417312,58.47207928534583
St Helens North,58.27,197,1.0766108374384236,58.47207928534583
Bolton North East,58.190000000000005,198,1.0984996481351161,58.47207928534583
Oldham East and Saddleworth,58.17,199,1.1203884588318087,58.47207928534583
North Durham,58.17,200,1.142277269528501,58.47207928534583
Dewsbury and Batley,58.15,201,1.1641660802251936,58.47207928534583
