con,val,rank,swarm_offset,swarm_val
Aberafan Maesteg,23.71,586,0.7701674876847291,23.772125612192262
Aberdeen North,31.87,318,0.6497790288529204,31.616612754982413
Aberdeen South,44.17,81,0.9343335679099226,43.94366397936694
Aberdeenshire North and Moray East,20.88,635,0.9233891625615763,20.41020255099648
Airdrie and Shotts,21.259999999999998,630,0.8358339197748065,21.530843571395074
Aldershot,29.939999999999998,383,0.5512793807178042,30.49597173458382
Aldridge-Brownhills,27.150000000000002,483,0.48561294862772686,27.13404867338804
Alloa and Grangemouth,24.71,566,0.6935566502463053,24.892766632590856
Altrincham and Sale West,48.660000000000004,43,0.9015003518648839,48.42622806096131
Alyn and Deeside,27.439999999999998,471,0.5075017593244193,27.13404867338804
Amber Valley,24.32,575,0.7920562983814214,23.772125612192262
Angus and Perthshire Glens,30.59,361,0.5731681914144968,30.49597173458382
Arbroath and Broughty Ferry,29.52,403,0.5512793807178042,29.375330714185225
"Argyll, Bute and South Lochaber",34.1,252,0.6935566502463053,33.8578947957796
Arundel and South Downs,37.449999999999996,169,0.6497790288529204,37.219817856975375
Ashfield,20.82,637,0.9452779732582688,20.41020255099648
Ashford,29.38,407,0.5731681914144968,29.375330714185225
Ashton-under-Lyne,23.5,591,0.813945109078114,23.772125612192262
Aylesbury,34.620000000000005,239,0.6497790288529204,34.97853581617819
"Ayr, Carrick and Cumnock",26.07,530,0.5950570021111893,26.013407652989446
Banbury,34.82,231,0.671667839549613,34.97853581617819
Bangor Aberconwy,34.74,236,0.6935566502463053,34.97853581617819
Barking,34.14,251,0.7154454609429979,33.8578947957796
Barnsley North,22.7,606,0.7811118930330753,22.65148459179367
Barnsley South,20.19,641,0.9671667839549613,20.41020255099648
Barrow and Furness,27.69,460,0.5293905700211119,27.13404867338804
Basildon and Billericay,25.55,541,0.6169458128078817,26.013407652989446
Basingstoke,32.3,302,0.6060014074595355,32.737253775381006
Bassetlaw,24.87,559,0.7154454609429979,24.892766632590856
Bath,45.260000000000005,66,0.8467783251231527,45.06430499976553
Bathgate and Linlithgow,28.459999999999997,438,0.6388346235045742,28.25468969378663
Battersea,65.22,1,0.9890555946516537,65.2358433669402
Beaconsfield,42.6,96,0.8686671358198452,42.823022958968345
Beckenham and Penge,48.63,44,0.9233891625615763,48.42622806096131
Bedford,32.02,312,0.671667839549613,31.616612754982413
Belfast East,37.78,158,0.671667839549613,37.219817856975375
Belfast North,27.3,477,0.5512793807178042,27.13404867338804
Belfast South and Mid Down,48.190000000000005,48,0.9452779732582688,48.42622806096131
Belfast West,23.49,593,0.8358339197748065,23.772125612192262
Bermondsey and Old Southwark,56.94,16,0.9781111893033075,57.39135622415005
"Berwickshire, Roxburgh and Selkirk",29.73,394,0.5950570021111893,29.375330714185225
Bethnal Green and Stepney,46.2,60,0.9343335679099226,46.184946020164126
Beverley and Holderness,31.67,320,0.6935566502463053,31.616612754982413
Bexhill and Battle,29.759999999999998,393,0.6169458128078817,29.375330714185225
Bexleyheath and Crayford,30.51,363,0.5950570021111893,30.49597173458382
Bicester and Woodstock,38.91,145,0.8030007037297677,39.46109989777256
Birkenhead,27.959999999999997,450,0.6607234342012667,28.25468969378663
Birmingham Edgbaston,39.24,139,0.8248895144264602,39.46109989777256
Birmingham Erdington,24.18,578,0.8577227304714989,23.772125612192262
Birmingham Hall Green and Moseley,33.06,280,0.627890218156228,32.737253775381006
Birmingham Hodge Hill and Solihull North,20.45,640,0.9890555946516537,20.41020255099648
Birmingham Ladywood,31.58,325,0.7154454609429979,31.616612754982413
Birmingham Northfield,27.41,472,0.5731681914144968,27.13404867338804
Birmingham Perry Barr,24.91,558,0.7373342716396903,24.892766632590856
Birmingham Selly Oak,32.47,298,0.6497790288529204,32.737253775381006
Birmingham Yardley,23.57,589,0.8796115411681914,23.772125612192262
Bishop Auckland,25.759999999999998,539,0.6388346235045742,26.013407652989446
Blackburn,25.41,547,0.7592230823363828,24.892766632590856
Blackley and Middleton South,27.09,487,0.5950570021111893,27.13404867338804
Blackpool North and Fleetwood,24.23,576,0.9015003518648839,23.772125612192262
Blackpool South,22.12,617,0.8030007037297677,22.65148459179367
Blaenau Gwent and Rhymney,20.85,636,1.0109444053483463,20.41020255099648
Blaydon and Consett,29.16,418,0.6388346235045742,29.375330714185225
